Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Baden-Wuerttemberg,"37,272",+48,369,3.3,"1,847",,,,,,,,,,,,,,
Bavaria,"51,068",+153,735,5.6,"2,622",,,,,,,,,,,,,,
Berlin,"9,274",+82,290,7.7,223,,,,,,,,,,,,,,
Brandenburg,"3,565",+5,27,1.1,168,,,,,,,,,,,,,,
Bremen,"1,781",+7,39,5.7,56,,,,,,,,,,,,,,
Hamburg,"5,405",+19,90,4.9,261,,,,,,,,,,,,,,
Hesse,"12,029",+64,360,5.7,520,,,,,,,,,,,,,,
"Mecklenburg- 
West Pomerania",868,+4,24th,1.5,20,,,,,,,,,,,,,,
Lower Saxony,"14,499",+69,258,3.2,652,,,,,,,,,,,,,,
North Rhine-Westphalia,49.102,+413,"1,676",9.3,"1,739",,,,,,,,,,,,,,
Rhineland-Palatinate,"7,533",+35,115,2.8,239,,,,,,,,,,,,,,
Saarland,"2,874",+12,23,2.3,174,,,,,,,,,,,,,,
Saxony,"5,541",+5,25th,0.6,225,,,,,,,,,,,,,,
Saxony-Anhalt,"2,022",+7,37,1.7,64,,,,,,,,,,,,,,
Schleswig-Holstein,"3,451",+24,137,4.7,156,,,,,,,,,,,,,,
Thuringia,"3,369",+8,28,1.3,182,,,,,,,,,,,,,,
total,"209,653",+955,"4,233",5.1,"9,148",,,,,,,,,,,,,,
